CID,MW,MF,TPSA,XL,HAC,HBDC,HBAC,RBC,SMILES,Charge,CBUC
1472633,300.23,C13H11F3N2O3,65.2,2.9,21,0,8,5,CCOC(=O)CC1=NC(=NO1)C2=CC(=CC=C2)C(F)(F)F,0,1
23724196,370.9,C19H31ClN2O3,59.6,NULL,25,3,4,5,CC1(CC(CC(N1)(C)C)NC(=O)CC2=CC(=C(C=C2)OC)OC)C.Cl,0,2
24794229,272.34,C16H20N2O2,46.3,3.4,20,0,3,4,CCCCC1=NC2=C(O1)C=CC(=C2)C(=O)N3CCCC3,0,1
9660666,342.4,C18H22N4O3,92.7,2.1,25,2,5,7,CC(C)(C)OC(=O)NCCC(=O)NN=CC1=CC2=C(C=C1)N=CC=C2,0,1
4571723,344.4,C17H20N4O4,98.8,2,25,0,5,2,CC1CCCC(N1C(=O)CN2C=NC3=C(C2=O)C=CC(=C3)[N+](=O)[O-])C,0,1
3160344,327.4,C19H25N3O2,68,3.9,24,1,4,6,CC1=CC=C(C=C1)C2=NOC(=N2)CCCC(=O)NC3CCCCC3,0,1
2726931,295.22,C13H8F3N3O2,65,2.8,21,0,8,2,CC1=NC(=C(O1)C(F)(F)F)C2=NN=C(O2)C3=CC=CC=C3,0,1
2978511,336.34,C16H18F2N4O2,68.5,1.2,24,1,6,5,C1CC(OC1)CNC(=O)C2=C3N=C(C=C(N3N=C2)C(F)F)C4CC4,0,1
78431,239.34,C12H17NO2S,45.8,2.3,16,0,3,2,CC1=CC=C(C=C1)S(=O)(=O)N2CCCCC2,0,1
3469498,259.3,C14H17N3O2,61.8,1.2,19,1,3,3,CC(C)NC(=O)C1=NN(C(=O)CC1)C2=CC=CC=C2,0,1
135436483,187.59,C5H6ClN5O,96.2,NULL,12,4,3,0,C1=NC2=C(N1)C(=O)NC(=N2)N.Cl,0,2
16190580,359.9,C18H22ClN5O,60,3.2,25,0,5,7,CC(C)N(CC1=CN(N=C1)C)CC2=NC(=NO2)CC3=CC=CC=C3Cl,0,1
1638458,329.4,C19H23NO4,56.8,3.5,24,1,4,7,CC1=CC(=CC(=C1)OCCNC(=O)C2=C(C=CC=C2OC)OC)C,0,1
735815,317.4,C16H19N3O2S,61.9,2.3,22,0,5,3,CC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C3=CC=CC=N3,0,1
24686379,316.2,C14H15Cl2NO3,55.4,3.7,20,1,3,5,CC(C(=O)NC1=CC(=CC(=C1)Cl)Cl)OC(=O)C2CCC2,0,1
773303,272.4,C15H16N2OS,65.4,3,19,2,2,4,COC1=CC=C(C=C1)CNC(=S)NC2=CC=CC=C2,0,1
3654733,326.35,C17H18N4O3,67.7,2.1,24,0,4,5,CN1C2=C(C(=O)N(C1=O)C)N(C(=N2)OCC=C)CC3=CC=CC=C3,0,1
16191201,338.4,C21H26N2O2,42.4,3.2,25,0,4,7,CCOC(=O)C1(CCCN(C1)CC2=CC=NC=C2)CC3=CC=CC=C3,0,1
2731123,301.4,C17H19NO2S,62.6,3.3,21,1,3,6,COC1=C(C=C(C=C1)CCNC(=S)C2=CC=CC=C2)OC,0,1
24817004,391.5,C23H25N3O3,69.7,3.1,29,1,3,5,CC1=CC=C(C=C1)N(CC2=CC=CC=C2)C(=O)CN3C(=O)C4(CCCC4)NC3=O,0,1
9632149,309.35,C12H15N5O3S,128,1.3,21,2,6,4,CC1=C2C=C(C=CC2=NC(=N1)NC(=NS(=O)(=O)C)N)OC,0,1
6132412,297.31,C16H15N3O3,87.1,2.4,22,2,4,5,COC1=CC(=C(C=C1)NC(=O)C(=CC2=CC=CN2)C#N)OC,0,1
801532,278.3,C17H14N2O2,51.1,2.5,21,1,2,4,C1=CC=C(C=C1)NC(=O)CN2C=C(C3=CC=CC=C32)C=O,0,1
2732618,304.4,C16H20N2O2S,65.9,2,21,0,4,2,CC1=C(C(=CC=C1)C)N2C(=O)CC(C2=O)N3CCSCC3,0,1
7840277,319.4,C18H25NO4,64.599,3.4,23,1,4,7,COC1=CC=CC(=C1)CC(=O)OCC(=O)NC2CCCCCC2,0,1
135486272,355.4,C18H17N3O3S,116,2.8,25,3,5,4,CC1=CC=CC=C1NC(=O)CC2C(=O)NC(=NC3=CC=C(C=C3)O)S2,0,1
135403126,318.4,C19H18N4O,61.6,4,24,1,5,4,CC1=CC(=NC(=N1)C2=CC=CC=C2O)N(C)N=CC3=CC=CC=C3,0,1
5214289,272.3,C15H16N2O3,66.5,1.2,20,1,3,2,CC(=O)CN1C(=O)C2(CCCC3=CC=CC=C32)NC1=O,0,1
4246039,366.5,C21H22N2S2,75.6,5.1,25,1,2,5,CC1=CC(=C(C=C1)NC(=S)N(CC2=CC=CC=C2)CC3=CC=CS3)C,0,1
9592939,324.4,C19H20N2O3,59.9,3.4,24,1,4,8,COC(C1=CC=CC=C1)C(=O)NN=CC2=CC(=CC=C2)OCC=C,0,1
3328957,315.5,C16H17N3S2,76.8,3.2,21,0,4,4,C1N(CSC(=S)N1CC2=CC=CC=C2)CC3=CN=CC=C3,0,1
2808894,285.75,C11H12ClN3O2S,72.4,2.1,18,1,4,3,CC1=C(C=CC=C1Cl)S(=O)(=O)NC2=CC=NN2C,0,1
3451338,345.3,C16H11NO6S,129,2,24,1,6,4,C1=CC=C2C(=C1)C(=O)C3=C(S2(=O)=O)C=C(C=C3)C(=O)OCC(=O)N,0,1
1587720,348.5,C18H24N2O3S,67,2.5,24,1,5,6,CC1=CC2=C(C=C1)C=C(C=C2)S(=O)(=O)NCCCN3CCOCC3,0,1
764370,317.8,C15H12ClN3OS,69,3.9,21,1,3,4,C1=CC=C(C=C1)N2C(=NNC2=S)COC3=CC=C(C=C3)Cl,0,1
2815448,340.4,C19H20N2O4,76.7,2.9,25,2,4,8,C1C(C1NC(=O)OCC2=CC=CC=C2)NC(=O)OCC3=CC=CC=C3,0,1
3714256,305.4,C17H23NO2S,54.6,3.9,21,1,3,3,CC1=CC=C(C=C1)S(=O)(=O)NC23CC4CC(C2)CC(C4)C3,0,1
1085728,344.4,C18H20N2O3S,74.9,2.7,24,1,4,3,CC1=C(C=C(C=C1)NC(=O)C2=CC3=C(C=C2)N(CC3)S(=O)(=O)C)C,0,1
898682,349.4,C15H15N3O5S,130,1.8,24,2,6,4,CC1=C(C=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C)[N+](=O)[O-],0,1
2813904,261.32,C15H19NO3,38.8,3,19,0,3,2,CN(C1CCCCC1)C(=O)C2=CC3=C(C=C2)OCO3,0,1
5113059,317.4,C17H23N3O3,53.1,1.1,23,0,4,3,CCN1CCN(CC1)C(=O)CN2C(=O)COC3=C2C=C(C=C3)C,0,1
3145554,296.4,C15H24N2O2S,49,2.1,20,0,4,5,CCC(C)N1CCN(CC1)S(=O)(=O)CC2=CC=CC=C2,0,1
135420730,366.4,C18H14N4O3S,126,2.3,26,3,5,4,C1=CC=C(C=C1)C(=O)NN=CC2=C(N(C(=S)NC2=O)C3=CC=CC=C3)O,0,1
1828093,299.43,C14H25N3O2S,90.2,3.1,20,2,5,9,CCCCCCC1=C(N=C(NC1=O)SCCN(C)C)O,0,1
2732022,339.2,C15H12Cl2N2OS,58.5,3.5,21,0,3,3,C1C(=O)N(C(S1)C2=CN=CC=C2)CC3=CC(=C(C=C3)Cl)Cl,0,1
3811336,324.5,C15H20N2O2S2,104,3.4,21,1,5,4,CCCSC1=NC2=C(C3=C(S2)COC(C3)(C)CC)C(=O)N1,0,1
798911,276.36,C14H16N2O2S,67.4,2.8,19,1,4,3,CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=CC=CC=N2)C,0,1
756807,240.68,C11H13ClN2O2,65.2,1,16,1,3,1,CC1(CC2=NC(=C(C=C2CO1)C(=O)N)Cl)C,0,1
712076,340.35,C14H16N2O6S,102,1.5,23,0,7,3,COC(=O)N1C2=C(C=CC(=C2)S(=O)(=O)N3CCCCC3)OC1=O,0,1
16196749,295.33,C14H21N3O4,87.7,-0.1,21,2,4,4,C1CCC2(C1)C(=O)N(C(=O)N2)CC(=O)NCC3CCCO3,0,1
2346889,305.4,C13H11N3O2S2,104,2.4,20,0,4,3,COC1=C(C=C(C=C1)C2=NC(=S)N3C=CSC3=N2)OC,0,1
2887605,285.34,C17H19NO3,47.6,2.9,21,1,3,5,C1CC(OC1)CNC(=O)COC2=CC3=CC=CC=C3C=C2,0,1
4292992,328.3,C15H12N4O3S,125,2.5,23,2,5,3,C1C(=NC2=CC=CC=C2S1)NNC(=O)C3=CC(=CC=C3)[N+](=O)[O-],0,1
7132112,338.34,C14H14N2O6S,135,1.6,23,0,7,6,C1CC(=O)N(C1)C(=O)COC(=O)CSC2=CC=C(C=C2)[N+](=O)[O-],0,1
936,122.12,C6H6N2O,56,-0.4,9,1,2,1,C1=CC(=CN=C1)C(=O)N,0,1
3554226,320.3,C15H13FN2O3S,74.9,2.1,22,1,5,2,CC1C(=O)NC2=CC=CC=C2N1S(=O)(=O)C3=CC=C(C=C3)F,0,1
16264978,359.4,C20H25NO5,69,4.1,26,0,5,5,CC1CCCC(N1C(=O)COC(=O)C2=C(C3=C(O2)C=CC(=C3)OC)C)C,0,1
794782,271.31,C15H17N3O2,53,1.4,20,0,4,2,CC1CCN(CC1)C2=C(C(=O)N3C=CC=CC3=N2)C=O,0,1
2726218,260.31,C13H12N2O2S,88.3,2.1,18,0,5,5,CCOC(=O)C1=C(C(=NC(=C1)C)SCC#C)C#N,0,1
3812374,364.4,C19H20N6O2,122,4.9,27,3,7,7,C1=CC=C(C=C1)CCNC2=NC(=C(C(=N2)NCC3=CC=CC=C3)[N+](=O)[O-])N,0,1
616931,280.34,C13H16N2O3S,95.7,1.5,19,2,4,4,CC1=C(C(NC(=O)N1)C2=CC=CS2)C(=O)OC(C)C,0,1
6472743,306.4,C19H18N2O2,40.6,2,23,0,2,2,C1CN(C2=CC=CC=C21)C(=O)C3CC(=O)N(C3)C4=CC=CC=C4,0,1
2151543,317.32,C14H11N3O4S,104,1.9,22,0,5,2,C1=CC=C2C(=C1)N(C=NS2(=O)=O)CC3=CC=C(C=C3)[N+](=O)[O-],0,1
16190651,341.4,C18H23N5O2,69.2,2.1,25,0,6,7,CC(C)N(CC1=NC=CN1C)CC2=NC(=NO2)C3=CC=C(C=C3)OC,0,1
7151315,309.4,C13H15N3O2S2,97.7,1.6,20,1,5,4,CCS(=O)(=O)NC1=CC=CC(=C1)C2=CN3CCSC3=N2,0,1
6470799,280.39,C14H20N2O2S,49,1.8,19,0,4,2,CC1=CC=C(C=C1)S(=O)(=O)N2CCN3CCCC3C2,0,1
1906778,305.4,C15H19N3O2S,90.5,3.7,21,1,4,3,CC(C)C(=O)NN(C1=NC2=CC=CC=C2S1)C(=O)C(C)C,0,1
4982645,270.71,C15H11ClN2O,45.8,3.4,19,1,2,3,C1=CC=C2C(=C1)NC(=N2)CC(=O)C3=CC=C(C=C3)Cl,0,1
3107404,269.34,C17H19NO2,38.3,3.5,20,1,2,5,CC1=CC=C(C=C1)OCC(=O)NC(C)C2=CC=CC=C2,0,1
2214598,265.38,C13H19N3OS,85.2,2.3,18,3,2,5,CCCCC(=O)NNC(=S)NCC1=CC=CC=C1,0,1
2727253,227.26,C13H13N3O,57.5,1.8,17,2,3,3,CC1=CC=CC=C1N=C(C2=CN=CC=C2)NO,0,1
1429571,267.33,C15H17N5,55.1,3.5,20,1,4,4,CCCC1=NC2=NC=NN2C(=C1)NC3=CC=C(C=C3)C,0,1
747323,311.4,C16H13N3O2S,92.4,3.2,22,1,5,4,COC1=CC=CC(=C1)C(=O)NC2=NN=C(S2)C3=CC=CC=C3,0,1
135450494,359.4,C17H21N5O4,123,1.4,26,4,5,6,CCCCN1C(=C(C(=O)NC1=O)C(=NNC(=O)NC2=CC=CC=C2)C)O,0,1
259478,272.4,C15H16N2OS,51.8,3,19,0,3,2,C1CN(CCN1C2=CC=CC=C2)C(=O)C3=CC=CS3,0,1
2384573,308.4,C14H16N2O2S2,83.4,2.6,20,0,4,1,CC1=CC(=C(C(=C1)C)C2=CSC3=NS(=O)(=O)CCN23)C,0,1
207753,264.32,C17H16N2O,32.7,2.7,20,0,2,2,CC(=O)N1C(CC(=N1)C2=CC=CC=C2)C3=CC=CC=C3,0,1
3151022,265.69,C13H12ClNO3,40.6,2.5,18,0,4,2,COC1=CC2=NC(=C(C=C2C=C1)C3OCCO3)Cl,0,1
2964849,243.26,C13H13N3O2,62,2.6,18,0,4,1,C1CCN(C1)C2=C3C=CC=C(C3=NC=C2)[N+](=O)[O-],0,1
9623150,301.4,C15H15N3O2S,98.8,2.6,21,2,4,5,CC1=C(SC=C1)C=NNC(=O)CNC(=O)C2=CC=CC=C2,0,1
1246494,301.32,C12H15NO6S,119,2.8,20,1,7,7,CCOC(=O)C1=C(C(=C(S1)NC(=O)OC)C(=O)OC)C,0,1
2799449,362.4,C16H18N4O4S,108,2.1,25,0,7,3,CC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C3=NC=C(C=C3)[N+](=O)[O-],0,1
4884496,300.4,C19H28N2O,32.299,3.9,22,1,2,4,CC(C(=O)NCC1CCCCC1)N2CCC3=CC=CC=C3C2,0,1
6367981,275.26,C13H13N3O4,96.8,1.2,20,2,5,5,CC(=NNC(=O)CNC(=O)C1=CC=CO1)C2=CC=CO2,0,1
4868360,227.29,C12H9N3S,80,2.8,16,1,4,1,C1=CC=C2C(=C1)N=C(S2)C3=CN=C(C=C3)N,0,1
9557417,348.22,C14H10BrN3OS,85.5,3.7,20,2,3,3,C1=CC=C2C(=C1)C(=CN2)C(=O)NN=CC3=CC(=CS3)Br,0,1
1145374,415.6,C22H29N3O3S,69.3,2.6,29,0,5,6,CC1=C(C=C(C=C1)N(CC(=O)N2CCN(CC2)CC3=CC=CC=C3)S(=O)(=O)C)C,0,1
2408610,314.31,C16H15FN4O2,96.2,2,23,1,6,3,C1CN(CCC1C(=O)N)C2=C(N=C(O2)C3=CC=C(C=C3)F)C#N,0,1
3850364,359.4,C21H17N3O3,81.2,3.7,27,1,5,5,CC1=CC(=CC=C1)C2=NOC(=N2)C3=CC=CC=C3C(=O)NCC4=CC=CO4,0,1
3892919,320.14,C14H10BrNO3,56.3,2.8,19,0,4,5,C1=CC=C(C(=C1)C(=O)COC(=O)C2=CC=NC=C2)Br,0,1
1089285,226.27,C14H14N2O,42,1.6,17,1,2,4,C1=CC=C(C=C1)CC(=O)NCC2=CN=CC=C2,0,1
843001,323.4,C19H21N3O2,52.6,2.2,24,1,3,3,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3,0,1
834526,271.34,C14H13N3OS,75.3,3.1,19,1,5,4,COC1=CC2=C(C=C1)N=C(S2)NCC3=CN=CC=C3,0,1
4534458,272.4,C17H24N2O,32.299,2.4,20,1,3,6,CN(C)CCCNC1=CC(=O)CC(C1)C2=CC=CC=C2,0,1
2235529,334.4,C16H18N2O4S,92.9,2.1,23,2,5,6,CC1=CC=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)OCC(=O)NC,0,1
6883122,338.8,C15H15ClN2O3S,88.2,3.7,22,1,5,6,COC1=C(C=C(C=C1)CC(=O)NN=CC2=CC=C(S2)Cl)OC,0,1
16238906,299.83,C16H26ClNO2,32.7,NULL,20,2,3,6,CC1CCCCN1CC(COCC2=CC=CC=C2)O.Cl,0,2
20868329,232.23,C12H12N2O3,75.4,1.9,17,2,4,2,CC1=CC(=C(C=C1)O)NC(=O)C2=CC(=NO2)C,0,1
736092,303.74,C15H14ClN3O2,70.2,2.7,21,3,2,3,CC(=O)NC1=CC=C(C=C1)NC(=O)NC2=CC(=CC=C2)Cl,0,1
25237402,273.36,C14H15N3OS,82.6,2.8,19,1,4,4,CCC1=CC=C(S1)C(=O)NN=C(C)C2=CN=CC=C2,0,1
3831815,354.3,C17H15FN6O2,113,4.8,26,2,8,4,CN(C1=CC=CC=C1)C2=NC(=C(C(=N2)NC3=CC=CC=C3F)[N+](=O)[O-])N,0,1
6262389,332.4,C16H16N2O4S,85.4,2.9,23,1,6,4,CC1=CC=C(C=C1)S(=O)(=O)NN=C(C)C2=CC3=C(C=C2)OCO3,0,1
135458771,262.69,C12H11ClN4O,70.4,2.6,18,2,5,3,CC(=NNC1=NC=CN=C1Cl)C2=CC=C(C=C2)O,0,1
930136,317.3,C19H12FN3O,47.9,4.1,24,0,5,3,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=CC=N3)OC4=CC=C(C=C4)F,0,1
2940243,351.4,C21H21NO4,56.8,3.3,26,1,5,5,COC1=CC=C(C=C1)C2CC(=CC(=O)C2)NCC3=CC4=C(C=C3)OCO4,0,1
2882465,283.4,C18H21NO2,38.3,3.9,21,1,2,5,CC1=C(C=C(C=C1)OCC(=O)NC(C)C2=CC=CC=C2)C,0,1
971730,262.22,C11H10N4O4,113,1.5,19,2,5,2,CC1=CC(=NO1)NC(=O)NC2=CC(=CC=C2)[N+](=O)[O-],0,1
4548052,337.4,C15H16FN3O3S,89.4,1.3,23,1,5,3,CC(C)C(=O)NC1=C2CS(=O)(=O)CC2=NN1C3=CC=C(C=C3)F,0,1
2956975,307.5,C16H25N3OS,68.6,2.8,21,2,3,6,CCN(CC)C1=CC=C(C=C1)NC(=S)NCC2CCCO2,0,1
1296959,354.8,C16H16ClFN2O2S,74.6,3.7,23,2,4,5,COC1=CC(=C(C=C1NC(=S)NCC2=CC=C(C=C2)F)Cl)OC,0,1
7205906,344.4,C16H16N4O3S,117,2.2,24,0,6,4,C1CCN(C1)C(=O)CSC2=NN=C(C=C2)C3=CC(=CC=C3)[N+](=O)[O-],0,1
2891717,343.4,C19H21NO5,77.8,2.9,25,1,6,9,CC1=C(C(C(=C(N1)C)C(=O)OCC=C)C2=CC=CO2)C(=O)OCC=C,0,1
3226016,329.4,C18H23N3O3,68.5,2.7,24,0,5,5,CCCC(=O)N1CCCC(C1)C2=NC(=NO2)C3=CC(=CC=C3)OC,0,1
3794164,262.69,C13H11ClN2O2,57.8,4.4,18,1,3,3,C1=CC=C(C(=C1)CNC2=CC=CC=C2[N+](=O)[O-])Cl,0,1
1429148,355.5,C20H25N3OS,59.8,4.1,25,1,3,4,CCC1=CC=CC=C1NC(=S)N2CCN(CC2)C3=CC(=CC=C3)OC,0,1
16241437,307.77,C15H18ClN3O2,48.7,NULL,21,1,5,3,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C=CC#N.Cl,0,2
2909389,331.8,C18H18ClNO3,66.4,3.5,23,2,3,6,CC1=CC=C(C=C1)CC(CC(=O)O)C(=O)NC2=CC=C(C=C2)Cl,0,1
5412707,243.26,C13H13N3O2,67.5,1.6,18,1,4,3,CC1=CC(=C(O1)C)C(=O)NN=CC2=CC=NC=C2,0,1
717108,268.33,C12H16N2O3S,108,1.6,18,1,5,6,CCOC(=O)CSC1=C(C(=CC(=N1)C)C)C(=O)N,0,1
712607,324.13,C12H10BrN3O3,80.7,3.1,19,0,4,1,CC1=C(C(=NN1C(=O)C2=CC(=CC=C2)[N+](=O)[O-])C)Br,0,1
7121685,272.28,C10H12N2O5S,130,2.5,18,1,6,5,CCC(=O)NC1=C(C=C(S1)[N+](=O)[O-])C(=O)OCC,0,1
797782,258.11,C10H12BrNO2,38.3,2.7,14,1,2,3,CC1=C(C=CC(=C1)NC(=O)COC)Br,0,1
9684272,237.3,C15H15N3,37.3,3.4,18,1,3,2,C1CC2=CC=CC=C2C(=NNC3=CC=CC=N3)C1,0,1
5138410,394.5,C17H22N4O3S2,119,1.4,26,0,6,6,CC1=NN=C(N1CC2=CC=CC=C2)SCC(=O)N(C)C3CCS(=O)(=O)C3,0,1
4669245,235.28,C15H13N3,43.8,3.2,18,1,2,2,C1=CC=C(C=C1)C2=C(N(N=C2)C3=CC=CC=C3)N,0,1
2095788,285.77,C16H16ClN3,30.7,4.2,20,0,2,2,CC1=CC(=C2C=NN(C2=N1)C(C)C)C3=CC=C(C=C3)Cl,0,1
2409531,321.3,C18H11NO5,72.9,2.6,24,0,5,2,COC1=CC2=C(C=C1)OC(=O)C(=C2)N3C(=O)C4=CC=CC=C4C3=O,0,1
7080337,329.4,C19H15N5O,71.3,3.3,25,2,3,3,C1=CC=C(C=C1)NC(=O)NC2=CC=CC(=C2)C3=CN4C=CC=NC4=N3,0,1
3730213,335.4,C17H21NO4S,76,2.6,23,0,5,7,CC(CCC1=CC=CO1)N(C)S(=O)(=O)C2=CC=C(C=C2)C(=O)C,0,1
5284441,340.3,C18H23Cl2NO,12.5,NULL,22,1,2,8,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2.Cl,0,2
2103199,277.39,C14H19N3OS,82.3,3.8,19,2,3,5,CCCCNC(=O)NC1=NC2=C(S1)C=C(C=C2)CC,0,1
759219,269.29,C16H15NO3,55.4,3.6,20,1,3,4,CC1=CC(=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)OC,0,1
765070,323.4,C19H21N3O2,52.6,1.9,24,1,2,1,CC1=CC(=CC=C1)NC(=O)N2CC3CC(C2)C4=CC=CC(=O)N4C3,0,1
3111219,263.72,C13H14ClN3O,46.9,1.9,18,1,2,5,C1=CC=C(C(=C1)C(=O)NCCCN2C=CN=C2)Cl,0,1
5904691,303.4,C15H17N3O2S,92.4,3.2,21,1,5,5,CC(C)C(=O)NC1=NN=C(S1)C=CC2=CC=C(C=C2)OC,0,1
229746,227.3,C15H17NO,32.299,2.1,17,2,2,5,C1=CC=C(C=C1)CNCC(C2=CC=CC=C2)O,0,1
2767613,331.1,C12H8Cl2N2O5,95,1.8,21,1,5,4,C1=CC(=C(C=C1Cl)Cl)CN2C(=O)C(=O)N(C2=O)CC(=O)O,0,1
22514403,288.34,C15H20N4O2,57.9,1.2,21,0,3,2,CC1CCN(CC1)C(=O)CN2C(=O)C3=CC=CN3C(=N2)C,0,1
4325210,371.5,C19H21N3OS2,89.4,4.2,25,0,5,4,CCCN1CCC2=C(C1)SC3=C2C(=O)N(C(=N3)SC)C4=CC=CC=C4,0,1
4884537,322.78,C16H19ClN2O3,54.7,2.5,22,1,4,6,CN(C)C(CNC(=O)C1=C(C=CC(=C1)Cl)OC)C2=CC=CO2,0,1
24983060,277.31,C15H19NO4,64.599,2,20,1,4,8,CC1=CC=CC=C1OCCC(=O)OCC(=O)NC2CC2,0,1
20968038,336.4,C21H24N2O2,43.3,3.3,25,1,2,7,CN1C=C(C2=CC=CC=C21)CCCC(=O)NCC3=CC(=CC=C3)OC,0,1
831396,321.37,C16H23N3O4,79.9,-0.1,23,2,5,6,CC(=O)NC1=CC(=C(C=C1)OC)CNC(=O)CN2CCOCC2,0,1
16002475,304.77,C16H17ClN2O2,46.3,3.7,21,0,3,2,C1CCCN(CC1)C(=O)C2=NOC(=C2)C3=CC(=CC=C3)Cl,0,1
3759260,327.8,C18H14ClNO3,57.6,3.4,23,1,3,1,CC1CC2C3=C(C(=CC=C3)C(=O)O)C(=O)N2C4=C1C=C(C=C4)Cl,0,1
24747129,344.8,C19H21ClN2O2,54.4,NULL,24,3,4,7,C1=CC=C2C=C(C=CC2=C1)OCC(CNCC3=CN=CC=C3)O.Cl,0,2
2842883,243.3,C14H17N3O,46.9,1.6,18,1,2,5,CC1=CC=CC=C1C(=O)NCCCN2C=CN=C2,0,1
135547774,288.22,C12H11F3N2O3,71.2,3.9,20,1,8,4,CC(=C(C(=O)C)N=NC1=CC=C(C=C1)OC(F)(F)F)O,0,1
4417298,360.8,C16H14ClN4PS,67.7,4.4,23,0,3,5,C=CN1C=CN=C1P(=S)(C2=CC=C(C=C2)Cl)C3=NC=CN3C=C,0,1
1254065,329.3,C18H16FNO4,72.5,2.6,24,1,5,2,CC1(CC2=C(C=C(C(=O)O2)NC(=O)C3=CC=C(C=C3)F)C(=O)C1)C,0,1
4877802,294.4,C19H22N2O,32.299,3.6,22,1,2,3,CN(C)C1=CC=CC(=C1)C(=O)NC2CCCC3=CC=CC=C23,0,1
2806275,250.29,C16H14N2O,38,2.9,19,1,2,3,C1=CC=C(C=C1)CN2C=NC=C2C3=CC=CC=C3O,0,1
881040,344.4,C16H13FN4O2S,104,3,24,2,6,4,COC1=CC=C(C=C1)NC(=O)NC2=NN=C(S2)C3=CC=CC=C3F,0,1
2819882,290.2,C8H8BrN3S2,84.2,2.7,14,0,4,2,CN1C(=NN=C1SC)C2=CC=C(S2)Br,0,1
6402832,295.4,C16H13N3OS,80.2,2.8,21,1,4,4,C1=CC=C(C=C1)NC(=O)CSC2=NN=CC3=CC=CC=C32,0,1
3157244,326.3,C18H18N2O4,73.5,2,24,1,4,7,COCCNC(=O)CN1C=C(C2=CC=CC=C21)C(=O)C3=CC=CO3,0,1
8072742,320.4,C20H24N4,33.4,4.4,24,0,3,2,CC1=NC2=C(C(=NN2C(=C1)N3CCCCCC3)C)C4=CC=CC=C4,0,1
2467092,285.3,C15H15N3O3,80.3,1,21,2,4,5,COC1=CC=CC=C1C(=O)NCC(=O)NC2=CN=CC=C2,0,1
6898766,320.4,C19H20N4O,57.6,2.9,24,1,4,3,CC1(C2=CC=CC=C2N(C1=CC=NNC(=O)C3=CC=NC=C3)C)C,0,1
2970650,310.4,C18H22N4O,49.3,2.5,23,0,4,4,CCC(C1=CC=CC=C1)C(=O)N2CCN(CC2)C3=NC=CC=N3,0,1
135760333,297.38,C13H19N3O3S,105,0.7,20,2,5,5,CC1=C(N=C(NC1=O)SCC(=O)NCC2CCCO2)C,0,1
732530,324.2,C15H11Cl2NO3,47.6,3.7,21,1,3,2,C1COC2=C(O1)C=CC(=C2)NC(=O)C3=C(C=C(C=C3)Cl)Cl,0,1
5769417,303.27,C14H13N3O5,117,2.1,22,2,6,4,CCOC1=CC=CC=C1C=CC2=NC(=C(C(=O)N2)[N+](=O)[O-])O,0,1
6898634,365.4,C20H19N3O4,82,3.1,27,1,6,7,COC1=C(C=C(C=C1)C=NNC(=O)COC2=CC=CC3=C2N=CC=C3)OC,0,1
9594651,310.35,C17H18N4O2,83.4,2,23,2,4,5,CC1=CC(=CC=C1)C(=O)NN=C(C)CC(=O)NC2=CC=CC=N2,0,1
3230502,341.4,C19H19NO5,77.8,2.7,25,1,5,7,CCC(C(=O)NCC1=CC=CO1)OC(=O)C2=CC3=CC=CC=C3OC2,0,1
18075955,299.32,C16H17N3O3,81.2,1.6,22,1,5,6,CC1=CN=C(C=N1)C(=O)OC(C)C(=O)NCC2=CC=CC=C2,0,1
2500369,301.29,C16H15NO5,81.4,2.9,22,0,5,5,CC(=O)C1=CC(=C(C=C1)OC)COC2=CC=CC=C2[N+](=O)[O-],0,1
5332075,377,C13H9Cl4N5,65,NULL,22,1,5,3,C[N+]1=CC=CC(=C1)C=NNC2=C(C(=C(C(=N2)Cl)C#N)Cl)Cl.[Cl-],0,2
2028565,326.8,C18H15ClN2O2,49.4,3.3,23,1,3,2,CC(=O)NC1=C(C(=O)C2=CC=CC=C2N1C)C3=CC=CC=C3Cl,0,1
6472813,337.4,C19H19N3O3,61.9,2.4,25,1,3,5,CN1C2=C(C=C(C=C2)NC(=O)C3=CC=C(C=C3)OCC=C)N(C1=O)C,0,1
2975738,314.3,C15H14N4O4,106,1.9,23,1,5,4,CN1C2=C(C=C(C=C2)[N+](=O)[O-])N=C1CCNC(=O)C3=CC=CO3,0,1
823638,278.3,C17H14N2O2,51.2,2.8,21,1,3,4,C1=CC=C2C=C(C=CC2=C1)OCC(=O)NC3=CC=NC=C3,0,1
1094124,284.74,C12H10ClFN2OS,70.2,3.2,18,1,4,3,CC1=CSC(=N1)NC(=O)CC2=C(C=CC=C2Cl)F,0,1
18154449,286.33,C16H18N2O3,71.3,1.7,21,2,3,6,CC(C1=CC=CC=C1)NC(=O)CCNC(=O)C2=CC=CO2,0,1
